line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
7520,31,6,1 8 10 16 25 26,3,after_2,5,11,16,1,1,5,escaped,1,"(10,1,11)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7521,31,6,1 3 8 10 17 25,2,after_1,20,3,23,1,1,20,escaped,1,"(1,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7524,31,6,1 8 10 17 19 25,3,after_2,7,7,14,1,1,7,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7529,31,6,1 8 10 20 25 27,2,after_1,9,11,20,1,1,9,escaped,1,"(9,1,11)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7534,31,6,1 3 8 10 25 29,2,after_1,12,12,24,1,1,12,escaped,1,"(10,1,12)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
7535,31,6,1 8 9 10 25 29,2,after_1,17,6,23,1,1,17,escaped,1,"(4,1,6)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7536,31,6,1 8 10 25 27 29,2,after_1,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7541,31,6,1 8 10 20 25 29,2,after_1,14,8,22,1,1,14,escaped,1,"(7,1,8)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
7547,31,6,1 8 10 13 19 27,2,after_1,19,4,23,1,1,19,escaped,1,"(2,1,4)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7551,31,6,1 8 10 13 19 26,3,after_2,19,3,22,1,1,19,escaped,1,"(2,1,3)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7555,31,6,1 8 10 13 16 19,3,after_2,3,2,5,1,1,3,escaped,1,"(3,2,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7556,31,6,1 8 10 13 16 26,3,after_2,5,11,16,1,1,5,escaped,1,"(10,1,11)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7557,31,6,1 3 8 10 13 17,2,after_1,19,4,23,1,1,19,escaped,1,"(1,1,20)",1,1,14,"(1, 1, 14)",1,"(1, 1, 14)",1
7560,31,6,1 8 10 13 17 19,3,after_2,19,2,21,1,1,19,escaped,1,"(1,1,2)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7563,31,6,1 3 8 10 13 20,2,after_1,19,5,24,1,1,19,escaped,1,"(0,1,22)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
